Serial_number:
2016724
Project ID:

Location:

LEVEL
UNIT: kPa
Offset: 0.000000 kPa
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
2016/02/05,11:40:00,0,101.001,26.00
2016/02/05,11:45:00,0,101.031,25.90
2016/02/05,11:50:00,0,101.014,25.90
2016/02/05,11:55:00,0,101.009,25.90
2016/02/05,12:00:00,0,101.003,25.90
2016/02/05,12:05:00,0,100.986,25.90
2016/02/05,12:10:00,0,100.987,25.90
2016/02/05,12:15:00,0,100.991,26.00
2016/02/05,12:20:00,0,100.980,26.00
2016/02/05,12:25:00,0,101.018,26.00
2016/02/05,12:30:00,0,100.944,26.00
2016/02/05,12:35:00,0,100.937,26.00
2016/02/05,12:40:00,0,100.930,26.00
2016/02/05,12:45:00,0,100.925,26.00
2016/02/05,12:50:00,0,100.923,26.00
2016/02/05,12:55:00,0,100.938,26.10
2016/02/05,13:00:00,0,100.931,26.10
2016/02/05,13:05:00,0,100.931,26.10
2016/02/05,13:10:00,0,100.941,26.10
2016/02/05,13:15:00,0,100.925,26.00
2016/02/05,13:20:00,0,100.908,26.00
2016/02/05,13:25:00,0,100.894,26.00
2016/02/05,13:30:00,0,100.901,26.00
2016/02/05,13:35:00,0,100.895,26.00
2016/02/05,13:40:00,0,100.878,26.00
2016/02/05,13:45:00,0,100.877,26.00
2016/02/05,13:50:00,0,100.873,26.00
2016/02/05,13:55:00,0,100.882,26.10
2016/02/05,14:00:00,0,100.868,26.10
2016/02/05,14:05:00,0,100.847,26.10
2016/02/05,14:10:00,0,100.837,26.00
2016/02/05,14:15:00,0,100.873,26.10
2016/02/05,14:20:00,0,100.861,26.10
2016/02/05,14:25:00,0,100.861,26.10
2016/02/05,14:30:00,0,100.850,26.10
2016/02/05,14:35:00,0,100.854,26.10
2016/02/05,14:40:00,0,100.847,26.10
2016/02/05,14:45:00,0,100.841,26.10
2016/02/05,14:50:00,0,100.857,26.10
2016/02/05,14:55:00,0,100.852,26.10
