"TOA5","QUARRY","CR2xx","No_SN","CR200X.Std.02","15min_100times_only.CR2","24549","Data"
"TIMESTAMP","RECORD","Turb_BS_Median","Turb_BS_Mean","Turb_BS_STD","Turb_BS_Min","Turb_BS_Max","Turb_SS_Median","Turb_SS_Mean","Turb_SS_STD","Turb_SS_Min","Turb_SS_Max"
"TS","RN","","","","","","","","","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2015-09-02 14:15:00",23224,25.65628,40.45889,42.99044,0.1012986,289.2333,12.66249,27.50507,43.56597,4.724859,348.0927
"2015-09-02 14:30:00",23225,23.47209,31.46068,25.15933,0,119.0058,14.22358,25.63304,26.95912,4.819565,173.4711
"2015-09-02 14:45:00",23226,11.43564,17.45248,17.18444,0,83.44511,7.885992,16.73403,23.5293,4.327991,175.0925
"2015-09-02 15:00:00",23227,14.5073,17.17784,12.06419,0,51.19938,7.54156,18.1909,24.19276,4.109736,157.2727
"2015-09-02 15:15:00",23228,8.951666,11.37074,8.521083,0,41.43529,6.445679,15.19284,25.46064,4.129572,172.4237
"2015-09-02 15:30:00",23229,6.604149,7.620042,5.378318,0,29.09094,11.7538,29.08477,41.02075,4.332953,259.2262
"2015-09-02 15:45:00",23230,6.67736,9.959443,13.03141,0,107.9955,7.917634,21.05855,31.42273,4.207066,172.6071
"2015-09-02 16:00:00",23231,3.932209,4.652156,2.85411,0,17.10193,22.13042,37.14485,35.37963,4.964314,162.2637
"2015-09-02 16:15:00",23232,2.536254,2.856854,1.744679,0.5368204,16.30312,8.839615,19.93176,29.4273,4.111906,166.5979
"2015-09-02 16:30:00",23233,4.289359,4.781412,3.786073,0,23.67249,6.526184,16.16411,30.44893,3.997872,250.139
"2015-09-02 16:45:00",23234,3.330885,5.093455,4.807601,0,26.24071,9.254484,23.20703,32.74217,3.899672,172.3346
"2015-09-02 17:00:00",23235,2.488656,3.229729,2.484718,0.9815348,16.21464,9.117084,22.02367,35.60488,4.029475,225.8969
"2015-09-02 17:15:00",23236,2.537954,3.151773,1.588769,1.02812,8.745901,11.41133,20.00098,20.8796,4.078126,105.8194
"2015-09-02 17:30:00",23237,2.469959,3.350136,2.377326,1.419076,19.57432,10.56257,21.41303,26.59735,4.061082,188.5476
"2015-09-02 17:45:00",23238,2.517555,3.750468,3.098113,1.454686,20.3568,12.00627,33.71337,62.71979,4.510078,495.1787
"2015-09-02 18:00:00",23239,2.421802,2.932268,1.430813,1.651726,9.270558,10.70431,19.73251,24.16443,3.976805,164.2556
"2015-09-02 18:15:00",23240,2.056263,2.432282,0.9124528,1.649182,5.935228,6.396074,17.37758,29.53715,4.136391,214.4564
"2015-09-02 18:30:00",23241,2.25839,2.489521,0.7476508,1.585848,5.241367,7.352264,17.20279,22.42665,4.304733,109.2105
"2015-09-02 18:45:00",23242,2.02966,2.246295,0.5775214,1.741088,5.537666,5.706083,8.686603,7.003231,4.272795,41.14276
"2015-09-02 19:00:00",23243,2.117967,2.488085,1.055839,1.603377,9.112666,7.279389,14.78983,21.2007,4.06542,148.4171
"2015-09-02 19:15:00",23244,2.229226,2.544171,0.9814391,1.690184,6.222562,6.101089,10.16749,11.43161,4.188156,86.38574
"2015-09-02 19:30:00",23245,2.186757,2.710606,1.427741,1.594895,9.367794,8.643349,25.2504,44.65937,4.027926,273.7374
