Serial_number:
2009987
Project ID:

Location:

LEVEL
UNIT: kPa
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
2016/02/05,13:05:00,0,100.6640,38.525
2016/02/05,13:10:00,0,100.6560,37.597
2016/02/05,13:15:00,0,100.6540,36.525
2016/02/05,13:20:00,0,100.6500,35.914
2016/02/05,13:25:00,0,100.6350,35.413
2016/02/05,13:30:00,0,100.6310,35.057
2016/02/05,13:35:00,0,100.6260,34.817
2016/02/05,13:40:00,0,100.6160,34.567
2016/02/05,13:45:00,0,100.6120,34.459
2016/02/05,13:50:00,0,100.6050,34.474
2016/02/05,13:55:00,0,100.6040,34.453
2016/02/05,14:00:00,0,100.5940,34.316
2016/02/05,14:05:00,0,100.5900,34.238
2016/02/05,14:10:00,0,100.5820,34.306
2016/02/05,14:15:00,0,100.5800,34.316
2016/02/05,14:20:00,0,100.5820,34.194
2016/02/05,14:25:00,0,100.5820,33.973
2016/02/05,14:30:00,0,100.5810,33.786
2016/02/05,14:35:00,0,100.5820,33.754
2016/02/05,14:40:00,0,100.5870,33.706
2016/02/05,14:45:00,0,100.5870,33.620
2016/02/05,14:50:00,0,100.5900,33.456
2016/02/05,14:55:00,0,100.5860,33.413
2016/02/05,15:00:00,0,100.5830,33.361
2016/02/05,15:05:00,0,100.5780,33.447
2016/02/05,15:10:00,0,100.5780,33.522
2016/02/05,15:15:00,0,100.5800,33.516
2016/02/05,15:20:00,0,100.5720,33.465
2016/02/05,15:25:00,0,100.5680,33.346
2016/02/05,15:30:00,0,100.5700,33.214
2016/02/05,15:35:00,0,100.5600,33.150
2016/02/05,15:40:00,0,100.5610,33.223
2016/02/05,15:45:00,0,100.5600,33.155
2016/02/05,15:50:00,0,100.5570,32.875
2016/02/05,15:55:00,0,100.5610,32.634
2016/02/05,16:00:00,0,100.5570,32.497
2016/02/05,16:05:00,0,100.5490,32.463
2016/02/05,16:10:00,0,100.5510,32.466
2016/02/05,16:15:00,0,100.5520,32.422
2016/02/05,16:20:00,0,100.5590,32.153
2016/02/05,16:25:00,0,100.5540,31.836
2016/02/05,16:30:00,0,100.5550,31.695
2016/02/05,16:35:00,0,100.5530,31.602
